"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27315,"Intermediate",0.17,0.0266666666666667,0.633333333333333,5.69833333333333,98.6833333333333,0.125,0.411666666666667,33.1953333333333,2.55,14.8,3843,-248.7,31.418333,-121.991666,21.3,1993,1,"Light","Costera"
27315,"Deep",0.022,0,30.6285714285714,2.36133333333333,35.9866666666667,0.04,2.31928571428571,33.946,46.1142857142857,7.89266666666667,3843,-248.7,31.418333,-121.991666,21.3,1993,1,"Intermediate","Costera"
27316,"Very shallow",0.1425,0,0,5.6975,100.55,0.0575,0.33,33.166,2.275,15.7525,3661,-208.74,31.751666,-121.315,23.2,1993,1,"Light","Costera"
27316,"Shallow",0.18,0,0,5.72333333333333,100.633333333333,0.0783333333333333,0.331666666666667,33.161,2.1,15.5666666666667,3661,-208.74,31.751666,-121.315,23.2,1993,1,"Light","Costera"
27316,"Intermediate",0.188333333333333,0.0483333333333333,1.03333333333333,5.71666666666667,97.5333333333333,0.148333333333333,0.435,33.1501666666667,2.65,14.0716666666667,3661,-208.74,31.751666,-121.315,23.2,1993,1,"Light","Costera"
27316,"Deep",0.0266666666666667,0.0025,28.05625,2.6525,40.49375,0.0533333333333333,2.1275,33.882625,41.30625,7.985,3661,-208.74,31.751666,-121.315,23.2,1993,1,"Intermediate","Costera"
27317,"Very shallow",0.31,0,0,5.84,100.8,0.1125,0.355,33.03725,2.775,14.69,3813,-168.89,32.085,-120.638333,29.5,1993,1,"Light","Transición"
27317,"Shallow",0.4175,0.0825,1.45,5.745,97.375,0.2575,0.4875,33.2365,3.4,13.7325,3813,-168.89,32.085,-120.638333,29.5,1993,1,"Light","Transición"
27317,"Intermediate",0.0916666666666667,0.0666666666666667,14.4,4.44,70.8833333333333,0.145,1.27,33.3831666666667,14.2333333333333,10.755,3813,-168.89,32.085,-120.638333,29.5,1993,1,"Light","Transición"
27317,"Deep",0.00666666666666667,0.000625,32.00625,2.058125,30.775,0.035,2.408125,34.0215625,51.2625,7.233125,3813,-168.89,32.085,-120.638333,29.5,1993,1,"Intermediate","Transición"
27318,"Very shallow",0.266,0,0,5.8,101.18,0.09,0.35,33.2142,2.78,15.164,856,-129.08,32.418333,-119.96,31.2,1993,1,"Light","Transición"
27318,"Shallow",0.374285714285714,0.0457142857142857,1.4,5.64714285714286,97.4428571428572,0.241428571428571,0.46,33.2555714285714,3.62857142857143,14.5828571428571,856,-129.08,32.418333,-119.96,31.2,1993,1,"Light","Transición"
27318,"Intermediate",0.163333333333333,0.04,13.9833333333333,4.42333333333333,70.9666666666667,0.18,1.255,33.3995,13.7833333333333,10.9383333333333,856,-129.08,32.418333,-119.96,31.2,1993,1,"Light","Transición"
27318,"Deep",0.005,0,31.1125,1.885,28.6,0.0283333333333333,2.418125,34.0770625,48,7.8375,856,-129.08,32.418333,-119.96,31.2,1993,1,"Intermediate","Transición"
27320,"Very shallow",0.27,0,0,5.798,101,0.092,0.35,33.1676,2.58,15.09,1318,-101.13,32.651666,-119.481666,28.3,1993,1,"Light","Transición"
27320,"Shallow",0.375,0.0366666666666667,0.866666666666667,5.68333333333333,98.1833333333333,0.185,0.426666666666667,33.236,3.05,14.6583333333333,1318,-101.13,32.651666,-119.481666,28.3,1993,1,"Light","Transición"
27320,"Intermediate",0.0983333333333333,0.015,14.6333333333333,4.365,69.4666666666667,0.125,1.29166666666667,33.367,13.7666666666667,10.6833333333333,1318,-101.13,32.651666,-119.481666,28.3,1993,1,"Intermediate","Transición"
27320,"Deep",0.00666666666666667,0.000625,31.35,1.823125,27.60625,0.035,2.45,34.0706875,48.83125,7.730625,1318,-101.13,32.651666,-119.481666,28.3,1993,1,"Intermediate","Transición"
